incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Major Damage,sleeping,Single Vehicle Collision,Side Collision,SC,Police,13020,52080,1406.91,466132,521585,71610,328,6510,48,craft-repair,53300,Y
Minor Damage,reading,Vehicle Theft,?,VA,Police,780,3510,1197.22,468176,342868,5070,228,780,42,machine-op-inspct,0,Y
Minor Damage,board-games,Multi-vehicle Collision,Rear Collision,NY,Police,3850,23100,1413.14,430632,687698,34650,134,7700,29,sales,35100,N
Major Damage,board-games,Single Vehicle Collision,Front Collision,OH,Police,6340,50720,1415.74,608117,227811,63400,256,6340,41,armed-forces,48900,Y
Minor Damage,board-games,Vehicle Theft,?,NY,,650,4550,1583.91,610706,367455,6500,228,1300,44,sales,66000,N
Major Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,SC,Fire,6410,51280,1351.1,478456,104594,64100,256,6410,39,tech-support,0,Y
Minor Damage,board-games,Multi-vehicle Collision,Front Collision,NY,Police,7150,50050,1333.35,441716,413978,78650,137,21450,34,prof-specialty,0,N
Total Loss,base-jumping,Multi-vehicle Collision,Front Collision,VA,Police,9380,32830,1137.03,603195,429027,51590,165,9380,37,tech-support,0,N
Total Loss,golf,Single Vehicle Collision,Front Collision,WV,Police,2770,22160,1442.99,601734,485665,27700,27,2770,33,other-service,0,N
Total Loss,camping,Single Vehicle Collision,Rear Collision,NC,Other,4700,32900,1315.68,600983,636550,42300,212,4700,42,priv-house-serv,0,N
Total Loss,dancing,Single Vehicle Collision,Front Collision,NY,Police,15820,63280,1253.12,462283,543610,87010,235,7910,42,exec-managerial,38400,N
Major Damage,skydiving,Multi-vehicle Collision,Front Collision,SC,Fire,17680,79560,1137.16,615561,214618,114920,447,17680,61,exec-managerial,0,N
Total Loss,reading,Single Vehicle Collision,Rear Collision,SC,Ambulance,9420,42390,1215.36,432220,842643,56520,60,4710,23,protective-serv,0,N
Minor Damage,bungie-jumping,Parked Car,?,SC,,1120,5040,936.61,464652,626808,7280,121,1120,34,armed-forces,52800,N
Total Loss,board-games,Single Vehicle Collision,Rear Collision,SC,Police,8400,33600,1301.13,476685,644081,46200,180,4200,38,machine-op-inspct,41300,Y
Major Damage,movies,Multi-vehicle Collision,Side Collision,WV,Other,10520,42080,1131.4,458733,892874,63120,473,10520,58,transport-moving,55700,Y
Major Damage,hiking,Multi-vehicle Collision,Rear Collision,NY,Other,5790,40530,1199.44,619884,558938,52110,70,5790,26,machine-op-inspct,63600,N
Total Loss,reading,Single Vehicle Collision,Side Collision,WV,Police,7080,56640,708.64,470610,275265,77880,140,14160,31,machine-op-inspct,53500,N
Total Loss,yachting,Single Vehicle Collision,Side Collision,NY,Other,13260,53040,1374.22,472135,921202,72930,160,6630,37,craft-repair,45500,N
Major Damage,camping,Multi-vehicle Collision,Side Collision,VA,Police,6040,48320,1475.73,477670,143972,60400,196,6040,39,handlers-cleaners,57000,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,NY,Police,5240,41920,1187.96,618845,183430,47160,460,0,62,other-service,0,N
Total Loss,skydiving,Multi-vehicle Collision,Side Collision,SC,Police,4730,33110,875.15,442479,431876,37840,217,0,41,machine-op-inspct,46700,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,SC,Ambulance,5960,47680,972.18,443920,285496,71520,370,17880,55,prof-specialty,72700,Y
Total Loss,chess,Single Vehicle Collision,Front Collision,WV,Ambulance,16360,73620,1268.79,453148,115399,98160,413,8180,55,priv-house-serv,0,Y
Minor Damage,kayaking,Single Vehicle Collision,Rear Collision,VA,Other,14160,56640,883.31,434733,736882,77880,237,7080,40,craft-repair,0,N
Major Damage,polo,Multi-vehicle Collision,Rear Collision,OH,Other,11000,44000,1266.92,613982,699044,71500,8,16500,35,sales,0,Y
Minor Damage,golf,Parked Car,?,PA,Police,820,6560,1322.1,436984,863236,9020,257,1640,43,prof-specialty,0,N
Minor Damage,chess,Vehicle Theft,?,VA,,520,4160,848.07,607730,608513,5720,202,1040,34,exec-managerial,31000,Y
Minor Damage,kayaking,Single Vehicle Collision,Side Collision,SC,Other,15520,46560,1291.7,609837,914088,69840,224,7760,40,sales,0,N
Minor Damage,basketball,Single Vehicle Collision,Rear Collision,SC,Police,14100,63450,1104.5,432211,596785,91650,241,14100,45,machine-op-inspct,0,N
Major Damage,video-games,Multi-vehicle Collision,Side Collision,SC,Ambulance,12600,50400,954.16,473328,908616,75600,64,12600,25,prof-specialty,53200,N
Major Damage,reading,Multi-vehicle Collision,Side Collision,WV,Police,7460,52220,1337.28,610393,666333,67140,166,7460,37,craft-repair,27500,Y
Total Loss,yachting,Multi-vehicle Collision,Front Collision,NY,Police,3310,23170,1088.34,614780,336614,29790,155,3310,35,adm-clerical,81100,N
Major Damage,video-games,Multi-vehicle Collision,Front Collision,NY,Ambulance,14020,49070,1558.29,472248,584859,77110,114,14020,30,farming-fishing,51400,N
Total Loss,yachting,Single Vehicle Collision,Side Collision,WV,Fire,5400,48600,1415.68,603381,990493,64800,149,10800,37,prof-specialty,0,N
Major Damage,reading,Single Vehicle Collision,Front Collision,WV,Other,5310,37170,1334.15,479224,129872,53100,147,10620,33,craft-repair,53300,Y
Total Loss,camping,Single Vehicle Collision,Rear Collision,NY,Police,6020,48160,988.45,430141,200152,60200,62,6020,28,protective-serv,0,Y
Minor Damage,golf,Parked Car,?,WV,,820,3280,1222.48,620757,933293,5330,289,1230,49,priv-house-serv,0,N
Major Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,NY,Police,6230,43610,1155.55,615901,485664,62300,431,12460,54,craft-repair,65700,N
Major Damage,video-games,Single Vehicle Collision,Front Collision,NC,Ambulance,10940,38290,1262.08,474615,982871,60170,199,10940,37,tech-support,48500,Y
Minor Damage,kayaking,Single Vehicle Collision,Rear Collision,WV,Ambulance,4000,28000,1451.62,456446,206213,40000,79,8000,26,tech-support,0,N
Major Damage,chess,Single Vehicle Collision,Side Collision,WV,Police,16180,64720,1737.66,470577,616337,97080,116,16180,34,transport-moving,0,Y
Minor Damage,hiking,Multi-vehicle Collision,Side Collision,SC,Other,5740,40180,1475.93,441648,448961,51660,37,5740,23,prof-specialty,0,N
Total Loss,reading,Single Vehicle Collision,Rear Collision,NC,Other,5680,39760,538.17,433782,790442,51120,106,5680,30,transport-moving,49700,N
Minor Damage,reading,Single Vehicle Collision,Front Collision,SC,Other,11280,33840,1081.08,468104,108844,56400,269,11280,44,priv-house-serv,36400,N
Total Loss,yachting,Multi-vehicle Collision,Rear Collision,NY,Other,0,48230,1454.43,459407,430029,55120,265,6890,40,protective-serv,0,N
Total Loss,polo,Multi-vehicle Collision,Rear Collision,NC,Fire,14020,63090,1240.47,472573,529112,77110,163,0,33,other-service,35300,N
Major Damage,kayaking,Multi-vehicle Collision,Front Collision,WV,Fire,6280,50240,1273.7,433473,939631,62800,355,6280,47,other-service,0,Y
Trivial Damage,dancing,Vehicle Theft,?,NY,Police,810,5670,1123.87,446326,866931,7290,175,810,34,protective-serv,0,N
Total Loss,movies,Single Vehicle Collision,Rear Collision,WV,Other,7660,53620,1245.89,435481,582011,76600,192,15320,35,exec-managerial,0,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Front Collision,NY,Fire,8180,57260,1326.62,477310,691189,81800,430,16360,59,other-service,0,N
Trivial Damage,polo,Vehicle Theft,?,NY,,660,5280,1073.83,609930,537546,7260,91,1320,27,farming-fishing,0,N
